host_id,host_name,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
52590431,Bruno,Entire home/apt,1116,1,7,1,365
15311839,Rose,Entire home/apt,500,7,0,4,363
8975746,Laura,Entire home/apt,1112,3,0,40,364
70668128,Jacqueline,Entire home/apt,1089,15,0,1,177
114877442,Eliane,Private room,192,1,0,2,365
206936060,Paulo,Entire home/apt,169,4,0,1,354
10562212,Luiz Fernando,Entire home/apt,131,3,4,1,299
182971411,Rosane,Entire home/apt,131,3,5,2,164
23141333,Kai,Entire home/apt,255,2,7,2,84
171256195,Andre,Entire home/apt,218,2,0,15,139
62531913,Renata,Private room,79,2,0,2,364
69104114,Marcel,Private room,94,2,13,1,65
80055342,Eliana,Entire home/apt,222,3,0,4,257
91654021,Daniel,Entire home/apt,278,2,0,213,340
10712658,Manfred,Entire home/apt,999,60,1,14,0
15635229,Carlos,Entire home/apt,1014,3,7,3,300
81739205,Joao,Entire home/apt,300,5,1,2,0
26093368,Wallace,Entire home/apt,800,5,0,1,89
198910828,André,Entire home/apt,800,3,1,4,336
12869355,Allan,Entire home/apt,199,3,0,4,322
15010837,Marcus,Entire home/apt,800,3,0,1,365
3413189,Chad,Entire home/apt,545,3,0,57,364
20568689,Lilliane,Entire home/apt,1878,3,0,2,363
72536853,Cezar,Entire home/apt,368,4,9,5,159
83089976,Sergio&Marlene,Entire home/apt,98,3,8,1,72
40047720,José,Entire home/apt,500,5,1,2,365
5291353,Luiz Rogério,Entire home/apt,744,1,0,1,365
4307081,Nereu A,Entire home/apt,526,5,0,55,365
84234504,Sueli,Entire home/apt,601,2,3,1,332
66877715,Alan Mattos,Entire home/apt,349,3,5,43,79
12935217,Celia,Entire home/apt,199,2,2,1,349
12565926,Maria Claudia,Entire home/apt,150,1,3,4,324
15801422,Marco,Private room,826,1,0,1,365
13664216,Maria Lucia,Entire home/apt,199,7,2,15,87
22085127,Davimar,Entire home/apt,999,6,0,13,178
34264784,Sandra,Entire home/apt,199,2,35,2,290
44420898,Jeff,Private room,90,2,89,1,331
46235793,Daniela,Entire home/apt,2948,5,1,8,365
6138630,Marcos,Entire home/apt,116,2,174,1,194
170912239,Grupo MG,Entire home/apt,349,3,0,8,365
2397123,Camila,Entire home/apt,285,3,24,1,359
14175180,Maria Tereza,Entire home/apt,368,7,4,1,340
6373450,Paulo,Entire home/apt,436,1,5,1,364
96445730,Fernando,Entire home/apt,105,2,38,2,49
4928492,Felipe,Entire home/apt,451,4,5,9,355
27832547,Raul,Entire home/apt,150,5,1,1,318
119608702,Fatima,Private room,500,2,0,1,6
10671319,Eduardo,Entire home/apt,841,4,0,2,365
22713969,Maria,Entire home/apt,285,3,0,18,21
339264,David,Private room,109,1,79,1,365
42038091,Sheila,Entire home/apt,481,3,0,3,365
12800978,João Carlos,Entire home/apt,1127,1,1,1,178
25341342,Isabella,Private room,60,2,38,4,78
8983726,Cynthia,Entire home/apt,500,2,15,2,213
84438636,Itamar. Senzala,Private room,150,4,0,1,364
91654021,Daniel,Entire home/apt,1341,184,0,213,365
10768931,Boris,Entire home/apt,3756,30,0,1,364
31178932,Leopoldo,Entire home/apt,1089,6,0,1,365
95726650,André Luiz Padovani,Entire home/apt,135,90,0,1,358
12431812,Zuzu,Entire home/apt,342,4,7,3,142
159706319,Viviane,Entire home/apt,391,7,0,1,364
14314998,Aline,Entire home/apt,458,4,0,33,359
12980953,Janine,Entire home/apt,282,3,19,1,198
90005336,Gabriel,Private room,71,2,83,2,9
103335273,John,Entire home/apt,237,2,3,2,323
17570217,Luiz,Entire home/apt,349,3,0,1,23
44208672,Amanda,Entire home/apt,131,2,2,4,131
7835552,Maria Ines,Entire home/apt,999,7,1,8,364
15311839,Rose,Entire home/apt,454,7,3,4,358
100074191,Haroldo,Entire home/apt,101,1,6,2,257
64541067,Marcia,Entire home/apt,199,5,0,1,89
24609192,Ju,Private room,120,5,3,1,180
2479468,Michel,Entire home/apt,240,6,66,1,20
164822022,Priscilla,Entire home/apt,162,2,0,14,152
49079400,Jorge,Entire home/apt,300,1,25,1,142
162706782,Priscilla,Entire home/apt,207,2,7,7,237
8000736,Andrade,Entire home/apt,398,5,0,14,99
14963210,Joseph,Private room,199,2,1,2,357
81973289,Lena,Entire home/apt,252,2,6,1,167
80111640,Ana Cristina,Entire home/apt,1499,2,0,2,37
10712658,Manfred,Entire home/apt,1638,2,0,14,0
55952400,Norma,Private room,192,1,7,2,364
73050790,Fernanda,Private room,124,1,28,1,99
1024986,Raul,Private room,120,5,0,2,252
7550977,Johann,Entire home/apt,143,7,7,1,341
4169712,Bruno,Entire home/apt,563,2,0,2,115
671579,Karen,Entire home/apt,451,6,28,1,274
44622369,Elisa,Entire home/apt,79,3,1,2,274
77345568,Cynthia,Entire home/apt,289,2,91,1,148
717238,Marina,Entire home/apt,192,2,0,5,363
2156021,Gilson,Entire home/apt,165,2,13,3,96
129603370,Solange,Entire home/apt,199,1,0,1,238
49073624,Raygs,Entire home/apt,169,2,24,1,348
8064375,Ana Paula,Private room,349,2,1,2,73
73089170,Carmem,Private room,252,4,0,1,358
17866578,Cesar,Entire home/apt,101,3,5,2,359
30006795,Nara,Private room,131,2,11,2,165
15231112,Tereza,Private room,53,5,2,4,353
2019936,Giorgio,Private room,120,4,7,2,358
126317567,Rodolfo,Private room,124,1,11,1,208
27366917,Antonio,Entire home/apt,252,1,2,1,364
13069304,Rob And Pablo,Entire home/apt,1127,7,0,1,363
4307081,Nereu A,Entire home/apt,751,3,0,55,89
9644101,Paulo,Entire home/apt,116,3,72,6,92
17325065,Artur,Private room,252,2,1,3,193
113812028,Luiz Adolpho,Entire home/apt,120,2,18,1,165
110669763,Helena,Entire home/apt,180,5,1,1,152
83714610,Ludovico E Vittoria,Entire home/apt,522,2,17,1,173
142511579,Carlos,Entire home/apt,548,5,0,1,363
56415535,Yana,Private room,188,3,0,2,365
1858602,Silvia,Entire home/apt,252,3,115,2,269
66231570,Cristovão,Entire home/apt,372,3,59,1,125
3641304,Remo,Entire home/apt,233,3,1,2,106
169718373,Xavi,Entire home/apt,300,4,0,1,13
4928492,Felipe,Entire home/apt,300,3,0,9,363
2105194,Paulo E Francisca,Entire home/apt,120,3,31,3,56
2837815,Yara Maria,Private room,300,4,15,2,365
144802987,Kelen,Entire home/apt,650,2,12,1,132
83511983,Sonia,Shared room,398,1,5,1,89
96857970,Josino,Private room,192,2,1,2,83
53203436,Raquel,Entire home/apt,1100,3,2,1,365
2206708,Lilian E Cadu,Entire home/apt,113,5,1,3,351
24552503,Taymar,Entire home/apt,789,4,0,1,365
4902557,Elza,Entire home/apt,751,3,1,1,365
16326971,Barbara,Entire home/apt,101,14,6,1,31
1664638,Alexandre,Entire home/apt,180,3,21,2,328
23910734,Daniel,Entire home/apt,1514,3,0,1,365
79484264,William,Entire home/apt,1315,1,0,3,364
92525893,Analia,Entire home/apt,229,5,0,1,177
113016905,Victor,Entire home/apt,135,3,1,1,200
209348943,Erico,Entire home/apt,417,1,1,1,340
103335273,John,Entire home/apt,372,3,16,2,325
51314789,Dumont,Entire home/apt,192,2,0,3,35
524777,Mira,Entire home/apt,1127,5,0,2,363
26224953,Bernardo,Entire home/apt,158,4,4,1,10
11739,Eric,Entire home/apt,180,3,3,7,55
23747842,Renata,Shared room,563,1,2,17,365
107050007,Diogo,Entire home/apt,252,2,16,2,177
422874,Carlos,Entire home/apt,349,5,5,1,362
154043,Seba,Entire home/apt,150,4,1,1,89
217958157,Amanda,Private room,222,2,0,1,16
29332218,Anna,Entire home/apt,154,3,17,2,38
171256195,Andre,Entire home/apt,154,1,0,15,124
147946652,Renato,Entire home/apt,192,3,10,1,365
43269364,El Misti,Shared room,45,1,1,4,71
25506068,Regina,Entire home/apt,180,3,21,1,164
2942002,Paulo Fernando,Private room,139,3,6,2,365
2981770,M,Private room,38,3,7,2,91
44838515,Andréa,Entire home/apt,270,1,1,1,118
84566555,Maria Paula,Entire home/apt,939,1,0,1,365
2244498,Ana Regina,Entire home/apt,229,3,21,2,169
50890793,Magda,Entire home/apt,601,3,8,1,142
212316847,Anna Paula,Entire home/apt,101,4,0,1,334
12901063,Eduardo Henrique,Entire home/apt,1998,10,0,2,358
72295501,Cristina,Entire home/apt,451,3,0,1,359
14449322,Fabio Cesar,Entire home/apt,1499,5,1,1,362
18568541,Cristian,Entire home/apt,2239,5,0,11,364
198910828,André,Entire home/apt,1499,3,0,4,337
18568541,Cristian,Entire home/apt,751,5,1,11,365
156792723,Osias,Entire home/apt,240,3,0,1,169
4264872,Maria Das Graças,Private room,79,2,47,6,348
3767558,Marcelo,Entire home/apt,177,2,92,2,329
56464577,Anamaria,Private room,128,3,6,7,358
506187,Sheila,Private room,90,2,13,4,358
37252676,Carolina,Entire home/apt,282,3,1,1,76
183807933,Marcelo,Entire home/apt,131,2,8,1,347
88124349,PremierCopaApartments,Entire home/apt,165,1,0,21,165
1101316,Adélia & Carlos Alberto,Entire home/apt,214,2,32,1,167
76611158,Kelen,Entire home/apt,252,3,1,1,364
160772501,Carlos,Private room,101,1,0,2,365
401375,Stefan,Entire home/apt,334,5,84,1,306
100015892,Nádia,Entire home/apt,131,3,75,1,59
41146694,Mariana,Entire home/apt,428,3,9,2,364
39286812,Carlos Peti E Celso,Entire home/apt,199,1,103,1,160
14418677,Eliane,Private room,751,2,0,2,364
4192209,Simão,Entire home/apt,699,1,0,3,365
11604589,Tania,Entire home/apt,1998,10,0,1,365
2651593,Mariana,Private room,500,1,0,2,365
94215889,Uiliam,Private room,680,5,0,3,365
4318903,Denise,Private room,334,7,0,1,365
100281571,Carla,Private room,75,1,1,1,356
63257457,Terezinha Do Menino Jesus,Entire home/apt,349,3,1,2,365
13452798,Fidel E Carol,Entire home/apt,999,3,1,1,365
115476383,Fernanda & Ricardo,Entire home/apt,113,3,20,1,61
40952239,Andrea,Entire home/apt,128,2,0,3,348
13822615,Maria Isabel,Entire home/apt,391,2,1,1,364
50299703,Valquiria,Private room,60,1,16,3,9
47647768,Giovanna,Private room,300,1,0,2,365
45140634,Mônica,Entire home/apt,252,4,0,2,333
