host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
196583964,Catete,Private room,49,14,0,1,90
102009481,Catete,Private room,49,2,29,2,61
76811520,Botafogo,Entire home/apt,751,5,0,2,365
67514449,Catete,Private room,169,5,0,1,363
5155775,Glria,Private room,101,1,3,2,365
16103314,Botafogo,Private room,3748,1,0,1,365
4332144,Botafogo,Entire home/apt,548,7,1,1,365
2107688,Humait,Entire home/apt,481,5,0,1,365
27677548,Humait,Entire home/apt,252,2,0,3,177
12752373,Leblon,Entire home/apt,391,1,1,1,90
530231,Leblon,Private room,233,1,0,6,365
37243430,Gvea,Private room,101,1,0,2,363
150465927,Gvea,Entire home/apt,2441,4,0,7,365
90129687,Humait,Entire home/apt,699,4,0,1,87
4453679,Santa Teresa,Entire home/apt,60,5,3,1,228
32164682,Botafogo,Entire home/apt,244,2,0,1,194
48422460,Lagoa,Entire home/apt,391,3,3,1,272
3329979,Copacabana,Entire home/apt,819,1,2,8,356
94699571,Ipanema,Entire home/apt,267,3,4,1,41
12412278,Botafogo,Shared room,398,4,0,2,89
16876753,Humait,Private room,75,2,2,1,364
158319993,Humait,Private room,481,2,0,1,55
1989397,Botafogo,Private room,199,1,5,2,365
76228107,Copacabana,Entire home/apt,999,1,0,1,364
35222545,Barra da Tijuca,Entire home/apt,451,15,1,2,87
56248956,Barra da Tijuca,Entire home/apt,800,3,0,1,364
89723500,Leblon,Entire home/apt,146,3,9,3,61
22805631,Lagoa,Entire home/apt,488,4,2,75,365
82102278,Humait,Private room,222,1,4,2,364
28834837,Humait,Entire home/apt,199,1,39,1,315
163630461,Leblon,Private room,86,1,1,2,365
166029195,Copacabana,Private room,199,1,0,2,195
85392029,Barra da Tijuca,Entire home/apt,541,3,0,1,365
144686368,Barra da Tijuca,Entire home/apt,162,4,9,1,226
47904056,Lagoa,Private room,180,2,1,2,357
114043415,Barra da Tijuca,Private room,180,2,1,3,88
6845710,Botafogo,Private room,214,1,0,1,365
59624792,Jacarepagu,Entire home/apt,781,1,0,2,364
13498004,Barra da Tijuca,Entire home/apt,488,4,0,7,365
83358303,Jacarepagu,Entire home/apt,999,1,0,1,364
12997352,Santa Teresa,Private room,120,4,0,2,363
2580713,Santa Teresa,Private room,199,1,15,6,305
56030370,Barra da Tijuca,Private room,199,3,1,1,92
137306244,Barra da Tijuca,Entire home/apt,379,1,0,2,363
4995708,Humait,Private room,180,1,0,1,365
26555239,Barra da Tijuca,Entire home/apt,338,6,1,1,171
23760010,Barra da Tijuca,Entire home/apt,1799,5,0,1,358
50547576,Centro,Entire home/apt,349,4,0,1,178
68157574,Barra da Tijuca,Entire home/apt,4999,30,0,1,365
34538238,Santa Teresa,Private room,436,1,0,1,365
57029559,Barra da Tijuca,Entire home/apt,398,2,0,1,165
75894056,Barra da Tijuca,Entire home/apt,548,3,11,1,147
57858014,Santa Teresa,Entire home/apt,376,7,1,1,365
152342650,Centro,Entire home/apt,146,3,7,1,339
14163574,Copacabana,Private room,79,2,1,2,363
5644414,Centro,Entire home/apt,120,5,1,1,347
56175496,Maracan,Shared room,601,5,0,1,363
12701789,Botafogo,Private room,120,1,0,1,365
41498928,Centro,Entire home/apt,109,1,26,1,90
32429803,Barra da Tijuca,Entire home/apt,7501,1,0,5,365
88712815,Jacarepagu,Entire home/apt,1750,6,0,1,88
87966271,Urca,Entire home/apt,361,3,0,1,363
13056791,Tijuca,Entire home/apt,999,30,0,1,365
110997793,Centro,Private room,90,2,0,4,179
25225206,Santa Teresa,Private room,150,2,0,1,178
1883547,Centro,Private room,60,1,0,2,90
72724241,Santa Teresa,Private room,199,3,0,1,362
84565135,Barra da Tijuca,Private room,398,1,0,1,364
35589433,Centro,Entire home/apt,349,1,0,1,365
137910600,Barra da Tijuca,Private room,75,3,3,1,19
28338055,Centro,Entire home/apt,109,2,6,2,41
201389063,Centro,Entire home/apt,150,3,0,1,365
153687218,Jacarepagu,Entire home/apt,210,2,0,1,365
18866532,Lagoa,Entire home/apt,2798,1,0,2,364
169349882,Centro,Entire home/apt,252,5,0,1,365
12537963,Flamengo,Entire home/apt,338,15,0,2,365
171140182,Barra da Tijuca,Private room,601,2,1,1,65
191194229,Rio Comprido,Private room,49,1,2,1,365
11209609,Tijuca,Private room,71,2,10,2,260
179613262,Tijuca,Private room,53,3,6,1,260
61163071,Barra da Tijuca,Private room,826,3,0,4,365
81610321,Rio Comprido,Shared room,188,1,0,1,362
25803506,Centro,Entire home/apt,282,5,0,1,89
14169759,Centro,Entire home/apt,999,1,0,1,365
141422820,Barra da Tijuca,Entire home/apt,293,1,20,1,132
9030850,Gvea,Private room,79,1,14,2,362
50587733,Gvea,Entire home/apt,195,2,2,2,346
4362431,Glria,Private room,563,1,0,4,365
64412606,Flamengo,Private room,49,1,13,3,353
12029822,Copacabana,Private room,349,1,3,6,364
172050047,Catete,Private room,150,1,0,1,180
81169886,Santa Teresa,Entire home/apt,680,2,0,2,364
84222399,Botafogo,Private room,500,1,0,1,364
155321612,Jacarepagu,Private room,90,1,0,1,365
143220929,Barra da Tijuca,Private room,150,1,2,1,178
171775842,Flamengo,Private room,150,7,0,1,365
36744189,Botafogo,Entire home/apt,139,2,65,18,233
24882309,Flamengo,Entire home/apt,169,3,0,1,66
53957975,Botafogo,Private room,113,1,0,1,365
49205396,Jacarepagu,Shared room,131,5,0,3,362
130938684,Jacarepagu,Private room,90,3,0,2,89
147191098,Jacarepagu,Private room,1198,1,0,30,365
14732797,Botafogo,Entire home/apt,699,1,0,3,365
30583598,Jacarepagu,Entire home/apt,3756,30,0,2,365
191730000,Barra da Tijuca,Entire home/apt,300,5,0,1,365
214853303,Barra da Tijuca,Private room,101,1,0,1,352
14732797,Botafogo,Entire home/apt,699,1,0,3,365
4752369,Jacarepagu,Entire home/apt,252,2,6,4,178
68741023,Barra da Tijuca,Shared room,601,1,0,1,365
69207695,Laranjeiras,Private room,49,7,0,3,365
6359444,Barra da Tijuca,Entire home/apt,751,4,0,2,89
11389355,Ipanema,Entire home/apt,548,5,0,6,70
4673534,Leblon,Entire home/apt,229,2,0,3,365
496656,Botafogo,Private room,109,7,15,8,365
13804471,Botafogo,Private room,500,1,0,1,365
11671430,Jacarepagu,Entire home/apt,120,5,2,12,308
15280292,Laranjeiras,Entire home/apt,500,1,0,1,365
186759579,Santa Teresa,Private room,71,2,0,1,90
82314544,Laranjeiras,Entire home/apt,601,1,0,1,365
39949775,Laranjeiras,Entire home/apt,109,1,1,1,172
3940780,Leme,Entire home/apt,300,1,4,3,343
18146774,Ipanema,Private room,94,2,4,1,263
26707234,Gvea,Private room,131,1,0,1,79
150425725,Leblon,Private room,240,1,0,3,97
3982908,Santa Teresa,Private room,252,1,0,1,365
4774743,Santa Teresa,Private room,556,2,16,3,365
12511542,Leme,Entire home/apt,169,1,2,18,194
7987826,Santa Teresa,Private room,180,1,0,1,365
207362369,Copacabana,Private room,60,20,0,1,180
207178010,Copacabana,Private room,222,2,0,1,90
24295309,Santa Teresa,Private room,252,2,0,5,365
174834624,Botafogo,Entire home/apt,150,33,0,2,180
11397504,Botafogo,Entire home/apt,800,1,0,1,365
13580277,Leblon,Entire home/apt,394,3,2,62,45
1982737,Leblon,Entire home/apt,300,2,0,49,364
657280,Santa Teresa,Entire home/apt,90,2,0,2,44
212141760,Botafogo,Private room,41,90,0,1,323
4802327,Copacabana,Entire home/apt,2629,7,0,4,365
8290528,Santa Teresa,Private room,98,1,2,3,179
103255619,Santa Teresa,Private room,368,1,0,1,364
178957355,Centro,Shared room,60,1,0,1,87
81876389,Leblon,Entire home/apt,327,3,1,42,325
9989711,Copacabana,Entire home/apt,240,30,0,1,364
182971411,Copacabana,Entire home/apt,131,2,3,2,212
15311839,Copacabana,Entire home/apt,601,1,0,4,363
70159544,Leblon,Entire home/apt,533,3,0,31,296
81876389,Ipanema,Entire home/apt,304,2,5,42,318
183364075,Copacabana,Private room,101,1,0,1,360
77360561,Leblon,Entire home/apt,751,3,1,1,364
112276131,Botafogo,Private room,109,1,1,3,364
81876389,Ipanema,Entire home/apt,113,3,2,42,347
38938614,Ipanema,Entire home/apt,488,3,0,17,168
21586886,Copacabana,Private room,180,1,1,2,360
